2.904,1,35252,52.6M,12139,144.8M,1491
0.112,1,5478,8.2M,48910,586.8M,1499
0.035,1,1272,1.9M,36342,436.1M,1500
0.932,1,7978,12.0M,8560,102.7M,1500
0.270,1,1087,1.6M,4025,48.1M,1493
1.550,9,6305,9.4M,4067,48.7M,1495
0.455,1,1389,2.1M,3052,36.5M,1495
1.880,2,5626,298383,2992,1.3M,53
1.612,1,4791,7.0M,2972,34.9M,1468
0.391,2,1157,1.7M,2959,35.3M,1489
0.395,5,1133,1.5M,2868,30.3M,1321
0.512,1,1435,2.1M,2802,33.6M,1496
7.299,1,17235,25.9M,2361,28.3M,1499
4.056,22,9388,13.9M,2314,27.4M,1479
1.762,1,35126,52.6M,19935,238.7M,1496
0.125,1,2065,3.1M,16520,197.9M,1497
60.082,51,176176,263.6M,2932,35.1M,1496
2.078,2,5734,298515,2759,1.1M,52
2.306,1,3228,4.6M,1399,15.9M,1419
7.741,1,47185,2.6M,6095,2.7M,55
1.060,2,3390,186702,3198,1.4M,55
0.779,1,2916,4.4M,3743,44.9M,1499
3.811,1,13863,20.8M,3637,43.6M,1499
2.725,2,35252,52.9M,12936,155.2M,1499
0.830,1,3886,5.8M,4681,56.1M,1498
4.184,1,11053,15.7M,2641,30.0M,1419
1.098,5,2721,4.1M,2478,29.7M,1496
9.230,1,18920,28.4M,2049,24.6M,1499
0.138,2,3476,157692,25188,9.1M,45
0.209,1,1422,2.1M,6803,81.4M,1495
0.384,1,1219,1.8M,3174,37.7M,1483
1.406,1,3617,5.4M,2572,30.8M,1495
0.846,1,2114,3.2M,2498,29.9M,1498
0.106,1,1160,1.7M,10943,131.1M,1497
1.388,1,9860,14.8M,7103,85.2M,1499
0.676,1,4164,2.4M,6159,28.4M,575
0.127,1,2165,3.2M,17047,204.3M,1498
1.611,1,8828,13.0M,5479,64.4M,1469
0.432,1,1024,1.5M,2370,28.3M,1492
4.115,1,17719,25.4M,4305,49.5M,1435
0.256,1,1090,1.6M,4257,51.1M,1499
4.115,1,17719,25.4M,4305,49.5M,1435
5.312,2,21657,32.5M,4076,48.9M,1499
4.442,1,35501,52.6M,7992,94.7M,1481
0.333,2,1690,2.5M,5075,60.6M,1493
1.166,1,3617,5.4M,3102,37.1M,1494
1.639,1,4433,6.5M,2704,31.8M,1467
8.222,1,20828,30.6M,2533,29.7M,1467
2.225,2,5190,7.3M,2332,26.3M,1410
0.369,1,1060,1.6M,2872,34.4M,1497
1.064,1,1470,2.1M,1381,15.9M,1437
1.280,1,1612,2.2M,1259,13.9M,1377
0.313,1,3170,4.8M,10127,121.5M,1499
3.461,1,9801,14.7M,2831,34.0M,1499
1.561,1,3615,5.4M,2315,27.7M,1495
3.240,2,30996,6.3M,9566,15.5M,202
0.744,1,4992,7.5M,6709,80.5M,1498
6.542,1,42612,2.3M,6513,2.8M,53
2.309,2,35703,53.0M,15462,183.8M,1485
1.224,4,10128,15.2M,8274,99.2M,1498
48.080,1,83334,125.0M,1733,20.8M,1499
13.170,2,20536,30.8M,1559,18.7M,1499
30.079,2,100335,150.5M,3335,40.0M,1499
11.006,3,38216,34.0M,3472,24.7M,889
0.221,1,2346,3.5M,10615,127.2M,1498
0.215,1,1875,2.8M,8720,104.4M,1497
74.543,5,1.1M,1.7G,15234,182.8M,1499
3.851,1,23493,35.2M,6100,73.2M,1499
3.792,1,35464,52.6M,9352,111.0M,1484
0.147,1,1436,2.2M,9768,117.1M,1497
51.504,1,234020,350.0M,4543,54.4M,1495
281.474,9,1.3M,2.0G,4691,56.2M,1498
1.750,1,14423,21.6M,8241,98.8M,1498
2.526,2,35498,52.8M,14053,167.2M,1487
0.102,1,1527,2.3M,14970,179.2M,1496
0.429,1,1938,2.9M,4517,54.0M,1494
0.364,1,2186,3.1M,6005,68.2M,1418
1.779,1,35413,52.9M,19906,237.7M,1492
0.448,1,3198,4.8M,7138,85.5M,1497
0.180,1,1112,1.7M,6177,73.9M,1495
0.200,1,1036,1.6M,5180,62.0M,1497
0.145,1,1554,83424,10717,4.6M,53
1.420,1,4580,6.9M,3225,38.7M,1499
0.417,1,1303,2.0M,3124,37.4M,1497
0.530,1,2517,3.8M,4749,56.9M,1498
0.759,1,1990,3.0M,2621,31.2M,1489
0.759,1,1990,3.0M,2621,31.2M,1489
0.214,1,1307,2.0M,6107,73.1M,1495
14.902,2,43623,64.1M,2927,34.4M,1470
2.056,1,35393,52.8M,17214,205.4M,1491
0.086,1,3297,144724,38337,13.5M,43
2.269,2,5908,314095,2603,1.1M,53
0.236,1,1786,2.7M,7567,90.5M,1494
0.816,1,4742,7.1M,5811,69.6M,1498
0.063,1,1307,2.0M,20746,248.1M,1494
0.128,1,1208,1.8M,9437,113.0M,1496
3.066,2,35417,52.7M,11551,137.6M,1488
1.317,1,4918,7.3M,3734,44.5M,1489
0.359,1,1113,1.7M,3100,37.2M,1500
10.248,6,31688,47.3M,3092,37.0M,1493
1.595,1,3615,5.4M,2266,27.1M,1495
1.636,1,3620,5.4M,2212,26.5M,1495
43.932,14,172711,245.2M,3931,44.6M,1419
0.761,1,2237,3.4M,2939,35.2M,1498
1.511,86,4670,6.6M,3090,34.7M,1403
1.271,1,3609,5.4M,2839,34.0M,1497
5.323,1,12640,18.9M,2374,28.3M,1491
48.717,2,104708,154.0M,2149,25.3M,1471
0.883,1,1836,2.8M,2079,24.9M,1498
1.347,2,2432,3.6M,1805,21.6M,1496
0.547,1,3838,5.7M,7016,83.8M,1493
5.093,1,35545,52.6M,6979,82.7M,1481
0.838,5,4777,7.1M,5700,68.1M,1493
1.216,1,4369,6.4M,3592,42.3M,1471
2.082,2,7342,10.8M,3526,41.4M,1468
1.401,1,3615,5.4M,2580,30.9M,1495
3.004,1,7347,11.0M,2445,29.3M,1498
21.954,36,55987,79.1M,2550,28.8M,1413
72.677,106,139236,207.2M,1915,22.8M,1488
0.099,1,1300,1.9M,13131,157.2M,1496
1.741,140,7522,10.6M,4320,48.5M,1404
0.839,1,3968,5.7M,4729,54.4M,1438
0.097,1,1350,2.0M,13917,166.5M,1495
72.501,107,136962,204.0M,1889,22.5M,1489
69.404,136,139391,207.2M,2008,23.9M,1486
